gas_metana,suhu,kelembaban,tekanan,hst_hari,dosis_urea,dosis_npk,status_lahan
504.9,25.5,78.0,1017.43,28,32.2,24.3,1
372.0,24.1,72.2,1012.76,39,66.6,71.8,0
354.5,33.7,78.9,1011.41,66,0.0,0.0,1
354.5,26.5,72.4,1017.63,91,0.0,0.0,0
807.9,29.1,76.8,1009.98,80,0.0,0.0,1
571.2,24.3,65.7,1010.71,60,18.9,20.6,1
314.3,28.8,75.9,1010.12,41,70.9,74.4,0
515.7,26.5,71.9,1009.25,42,28.9,32.9,1
447.9,24.1,66.5,1013.79,93,0.0,0.0,0
142.0,32.2,92.8,1011.45,9,39.2,96.4,0
235.3,31.8,66.8,1014.96,104,0.0,0.0,0
463.5,28.2,76.1,1007.18,71,0.0,0.0,1
771.2,31.3,69.2,1009.32,73,0.0,0.0,1
356.0,33.8,78.5,1013.43,9,15.9,48.4,1
302.3,30.6,65.2,1018.39,66,0.0,0.0,0
420.5,29.8,83.1,1014.57,53,31.6,38.9,0
293.5,29.1,93.3,1011.19,16,41.1,101.3,0
344.3,30.3,68.9,1008.04,33,71.3,77.5,0
395.7,27.5,86.3,1010.98,94,0.0,0.0,0
229.6,27.7,72.8,1013.1,60,35.0,38.6,0
585.4,29.8,88.8,1005.0,46,16.3,16.8,1
209.8,27.2,94.6,1009.0,12,38.0,101.1,0
197.7,27.5,74.0,1010.67,76,0.0,0.0,0
438.3,28.5,63.1,1012.35,75,0.0,0.0,0
563.8,31.7,84.1,1013.06,66,0.0,0.0,1
433.0,25.3,77.9,1011.11,56,35.0,37.6,0
376.2,30.6,80.3,1015.02,48,37.3,41.3,0
342.7,30.7,73.1,1013.69,64,34.8,40.4,0
315.7,30.7,68.5,1011.95,28,71.7,77.2,0
648.9,26.2,85.9,1015.5,99,0.0,0.0,1
465.7,23.8,78.7,1015.22,64,16.4,19.4,1
328.3,30.1,63.7,1008.16,36,71.7,76.5,0
281.9,29.0,81.8,1013.14,50,37.3,44.2,0
532.3,31.3,80.1,1016.37,86,0.0,0.0,1
641.6,26.5,73.2,1016.95,21,39.2,40.7,1
614.3,30.6,89.8,1014.55,34,42.3,44.2,1
258.5,31.5,70.7,1012.43,73,0.0,0.0,0
341.2,28.2,74.6,1014.72,37,63.1,68.4,0
